Organism Name,Sabio-RK Total Reactions,Reactions Available To Anguix,Time Spent on Anguix Data Processing (seconds),Time Spent on downloading SABIO-RK data (min.),Time Spent on generating queries (min.),Time Spent on saving into the database (min.)
bacillus anthracis,54,0,0.002,0.161,0.0,0.0
bos taurus,1486,198,0.005,3.668,0.02,0.062
caenorhabditis elegans,120,2,0.003,0.333,0.0,0.001
candida albicans,80,34,0.003,0.232,0.0,0.0
canis familiaris,135,15,0.003,0.368,0.002,0.004
cavia porcellus,209,23,0.003,0.545,0.0,0.0
chlamydia trachomatis,50,33,0.003,0.157,0.0,0.0
clostridium botulinum,1,0,0.003,0.02,0.0,0.0
clostridium perfringens,100,21,0.003,0.276,0.0,0.0
cricetulus griseus,91,79,0.003,0.263,0.0,0.0
crithidia fasciculata,20,6,0.003,0.076,0.0,0.0
danio rerio,48,2,0.003,0.145,0.001,0.001
dictyostelium discoideum,106,25,0.003,0.3,0.003,0.009
drosophila melanogaster,250,123,0.003,0.666,0.002,0.006
escherichia coli,7260,955,0.009,18.083,0.0,0.0
gallus gallus,799,230,0.006,2.031,0.024,0.064
homo sapiens,13543,2107,0.029,33.642,0.226,0.606
human herpesvirus 1,75,53,0.003,0.236,0.0,0.0
human immunodeficiency virus 1,10,0,0.003,0.056,0.0,0.0
influenza a virus,103,0,0.002,0.29,0.0,0.0
legionella pneumophila,18,0,0.003,0.075,0.0,0.0
leishmania major,144,30,0.003,0.391,0.0,0.0
leishmania mexicana,17,7,0.003,0.075,0.0,0.0
listeria monocytogenes,6,4,0.003,0.041,0.0,0.0
macaca mulatta,39,18,0.003,0.14,0.0,0.0
meleagris gallopavo,21,5,0.007,0.092,0.0,0.0
mus musculus,1922,354,0.005,4.707,0.035,0.105
mycobacterium tuberculosis,445,29,0.003,1.125,0.0,0.001
neisseria meningitidis,32,0,0.003,0.143,0.0,0.0
oryctolagus cuniculus,1098,245,0.003,2.691,0.0,0.0
ovis aries,705,82,0.003,1.713,0.0,0.0
penicillium chrysogenum,8,6,0.003,0.048,0.0,0.0
plasmodium falciparum,255,69,0.003,0.671,0.005,0.014
rattus norvegicus,5773,1529,0.018,14.231,0.148,0.438
saccharomyces cerevisiae,2613,659,0.009,6.519,0.067,0.218
salmonella enterica,49,24,0.003,0.178,0.0,0.0
salmonella typhimurium,400,99,0.002,1.005,0.0,0.0
schizosaccharomyces pombe,90,2,0.003,0.262,0.0,0.001
sendai virus,3,0,0.003,0.03,0.0,0.0
staphylococcus aureus,313,18,0.003,0.8,0.0,0.0
sus scrofa,1335,187,0.005,3.353,0.025,0.07
toxoplasma gondii,95,77,0.003,0.277,0.0,0.0
triticum aestivum,174,7,0.003,0.478,0.0,0.0
vaccinia virus,12,2,0.003,0.061,0.0,0.0
vigna radiata,67,2,0.003,0.213,0.0,0.0
xenopus laevis,46,23,0.003,0.16,0.0,0.0
